
[Thu, 03 Sep 2015 11:00:31 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to smtp.hostaccount.com:587 [SMTP: Invalid response code received from server (code: 421, response: 4.3.2 The maximum number of concurrent connections has exceeded a limit, closing transmission channel)]. CLAIM ID: 3753. LOCATION ID: 4179, FROM: kingstree24reports@kingstree.net, MAIL_CONFIG_ID: 39
[Fri, 11 Sep 2015 09:48:51 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.ontopcorp.com:587 [SMTP: Invalid response code received from server (code: -1, response: )]. CLAIM ID: 3898. LOCATION ID: 5960, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Wed, 23 Sep 2015 08:36:23 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Wed, 23 Sep 2015 08:36:23 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Wed, 23 Sep 2015 08:36:24 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Wed, 23 Sep 2015 08:36:24 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Thu, 24 Sep 2015 13:06:18 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Thu, 24 Sep 2015 13:06:18 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Thu, 24 Sep 2015 13:06:18 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Thu, 24 Sep 2015 13:06:19 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Thu, 24 Sep 2015 18:33:02 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Thu, 24 Sep 2015 18:36:02 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Thu, 24 Sep 2015 18:39:09 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Thu, 24 Sep 2015 18:39:09 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 01:42:05 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 11
[Fri, 25 Sep 2015 05:01:40 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:01:42 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:01:43 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:01:44 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:02:19 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:02:20 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
